Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6s3E1zxEQnGC5Hr3bgU3ok,"For My Family","Warriors (Deluxe Edition)","Agnostic Front",2007-11-09,142586,39,false,,1970-01-01T00:00:00Z,"hardcore punk,hardcore,punk,skate punk","Reigning Phoenix Music",0.215,0.987,7,-4.598,1,0.0975,0.00163,0,0.146,0.286,182.656,4
spotify:track:0Uvf2v96tJ5CuyK0LtyAgd,"Past Self","Even In Arcadia","Sleep Token",2025-05-09,214648,72,true,,1970-01-01T00:00:00Z,"progressive metal,metalcore","Sleep Token/RCA Records",0.753,0.662,2,-6.569,0,0.0283,0.104,0,0.175,0.63,137.028,4
spotify:track:7KbfKTMX3wbQW5OJvIGRdg,"Deep in the Willow","Upon Loss Singles","Knocked Loose",2023-06-14,211573,54,true,,1970-01-01T00:00:00Z,"hardcore,metalcore,deathcore,hardcore punk,mathcore","Pure Noise Records",0.339,0.974,5,-2.485,1,0.218,0.000062,0.00013,0.365,0.121,144.162,4
spotify:track:23UBSdCPcsloNVmQZ508Zv,"Sigma Boy - Сигма Бой","Sigma Boy (Сигма Бой)","Betsy;Maria Iankovskaia",2024-10-04,134400,33,false,,1970-01-01T00:00:00Z,"","Rhymes Music Inc.",0.897,0.765,6,-3.865,0,0.0686,0.0222,0,0.084,0.396,124.963,4
spotify:track:3FI0iAAAjmR31xpZEwbdys,"Circle With Me","Eternal Blue","Spiritbox",2021-09-17,233880,74,false,,1970-01-01T00:00:00Z,"metalcore,djent,metal","Rise Records",0.422,0.874,8,-4.606,0,0.0534,0.000166,0.231,0.143,0.392,102.743,4
spotify:track:06BRkkaJsqM9i6VZKDvUlK,"Black Lungs","For Those That Wish To Exist","Architects",2021-02-26,231161,60,true,,1970-01-01T00:00:00Z,"metalcore,djent,metal,mathcore,post-hardcore,deathcore","Epitaph",0.462,0.932,1,-3.933,1,0.0952,0.000139,0.0000702,0.226,0.46,90.496,4
spotify:track:4TnPmXU7KVmHZ51hXXn5Hv,"This Could Be Anywhere in the World","Crisis","Alexisonfire",2006-08-22,243853,55,true,,1970-01-01T00:00:00Z,"post-hardcore,screamo,emo,metalcore","Dine Alone Music Inc.",0.192,0.737,1,-5.319,0,0.0835,0.0000378,0.000712,0.14,0.266,83.763,5
spotify:track:1WPijMCbMHyodBdwBQj12P,"A Line in the Dust","A Line in the Dust","LANDMVRKS;While She Sleeps;Mat Welsh",2025-01-24,235443,43,false,,1970-01-01T00:00:00Z,"metalcore,deathcore,metal,post-hardcore","Arising Empire",0.432,0.95,8,-3.522,1,0.0766,0.000243,0,0.0921,0.293,158.039,4
spotify:track:2EmyhXm2yu38NRjIK3Xdvu,"Law Abiding Citizen","Euthanasia","Stray From The Path",2022-09-09,250120,30,true,,1970-01-01T00:00:00Z,"metalcore,hardcore,melodic hardcore,hardcore punk,mathcore","Epitaph",0.59,0.938,7,-2.384,1,0.134,0.000514,0.000125,0.294,0.468,94.945,4
spotify:track:4cMbAP64BETo4dBW8GUwYD,"Gotta Go","Something's Gotta Give","Agnostic Front",1998-07-14,214666,49,false,,1970-01-01T00:00:00Z,"hardcore punk,hardcore,punk,skate punk","Epitaph",0.218,0.947,0,-5.188,1,0.135,0.00117,0,0.127,0.234,196.76,4
spotify:track:063enHR1mnhUpbb1rsQJOk,"Dethrone","Finding God Before God Finds Me","Bad Omens",2019-08-02,209134,25,true,,1970-01-01T00:00:00Z,"metalcore","Sumerian Records",0.283,0.935,6,-4.56,1,0.142,0.0000159,0.0057,0.073,0.419,111.884,3
spotify:track:5c3Nd8XUPfsO8MLUM1oa7O,"Whiplash","The Sky, The Earth & All Between","Architects",2025-02-28,226166,64,true,,1970-01-01T00:00:00Z,"metalcore,djent,metal,mathcore,post-hardcore,deathcore","Epitaph",0.503,0.947,8,-3.189,0,0.153,0.0000611,0.00222,0.898,0.424,95.038,4
spotify:track:3VLgM0cCgjzCfe3ioyRvFF,"bad luck","bad luck","We Came As Romans",2025-04-17,245767,49,false,,1970-01-01T00:00:00Z,"metalcore,post-hardcore,screamo,metal","SHARPTONE",0.436,0.963,5,-3.447,0,0.202,0.000096,0.00000869,0.605,0.367,138.076,4
spotify:track:1H4Y9uW4N0LsxJUz0VnaPJ,"Just Pretend","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,204676,38,false,,1970-01-01T00:00:00Z,"metalcore","Sumerian Records",0.457,0.834,5,-4.674,0,0.0817,0.00252,0.00125,0.1,0.201,140.032,4
spotify:track:0xfWKcNu13xxXQ2GT0P09M,"Carrion","Horizons (Deluxe Edition)","Parkway Drive",2007-10-09,187960,60,false,,1970-01-01T00:00:00Z,"metalcore,metal,deathcore","Epitaph",0.228,0.969,6,-4.07,0,0.1,0.000275,0,0.0982,0.428,155.212,4
spotify:track:3gS9mNAWewXpwXq9Wza8Cu,"Dead on the Fence","Heavy Steps","Comeback Kid",2022-01-21,193826,36,false,,1970-01-01T00:00:00Z,"hardcore,melodic hardcore,hardcore punk,metalcore","Nuclear Blast",0.266,0.991,8,-2.119,1,0.154,0.000255,0,0.134,0.124,144.69,4
spotify:track:1Rz1CTinAymBA4dcMPGijY,"Real Thing","Time & Space","Turnstile",2018-02-23,116453,57,false,,1970-01-01T00:00:00Z,"hardcore punk,hardcore","Roadrunner Records",0.51,0.801,1,-5.03,1,0.0355,0.000311,0.895,0.357,0.358,84.972,4
